Missing Percentage,To Drop
100.0,True
100.0,True
100.0,True
100.0,True
100.0,True
100.0,True
100.0,True
100.0,True
99.93573521030301,True
99.41575331702478,True
98.04508386085969,True
95.14097208703423,True
95.08726173360134,True
92.98599074493211,True
90.8950396494989,True
86.72979001362695,False
86.67420331596934,False
86.67420331596934,False
86.63902186175565,False
86.55716634495181,False
86.55411728558663,False
82.64451955033411,False
77.07224628894294,False
77.0122032737516,False
76.34211384249497,False
62.76652883354716,False
58.266820839617125,False
41.952945977704346,False
35.933164618715125,False
27.48750472017844,False
22.812593084264275,False
15.357877479412984,False
15.284934597676617,False
14.84657367817413,False
13.458313494902207,False
13.364027197609538,False
9.584835385975735,False
8.55401877751483,False
8.511097403374137,False
7.87290582393793,False
7.77463229516771,False
7.742968986375395,False
7.437593963800629,False
5.790867363572184,False
4.294248301322119,False
3.136309371635773,False
3.125285849315486,False
3.125285849315486,False
1.6157669205204042,False
0.7413905117963416,False
0.48550406814882224,False
0.1942016272595289,False
0.18505444916397137,False
0.13931855868618376,False
0.1308750096748999,False
0.11492608376469705,False
0.10085350207922396,False
0.0940517542645786,False
0.08912635067466303,False
0.08044825863528794,False
0.07411559687682504,False
0.05582124068571,False
0.0457358904777876,False
0.04409408928114907,False
0.02439247492148672,False
0.016183468938294077,False
0.010319893236013613,False
0.0028145163370946217,False
0.00046908605618243697,False
0.00046908605618243697,False
0.00023454302809121849,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
0.0,False
